#1      #2      #3      #4      #5      #6      #7      #8      #9      #10     #11     #12
6.686   5.33    4.503   5.197   4.849   5.236   5.042   4.732   4.639   4.849   4.733   4.616
10.173  6.918   5.786   6.089   5.585   5.997   5.430   5.197   4.965   5.313   5.081   4.888
13.545  8.507   6.79    6.941   6.305   6.283   5.934   5.663   5.489   5.546   5.391   5.236
-       10.251  7.99    7.794   6.903   6.864   6.399   6.050   5.779   5.972   5.701   5.469
-        11.956  9.19    8.608   7.600   7.445   6.903   6.438   6.205   6.205   6.050   5.779
-        13.739  10.32   9.383   8.453   8.026   7.368   6.941   6.631   6.593   6.283   6.011
-        -       11.56   10.351  8.956   8.569   7.949   7.445   7.019   6.941   6.631   6.321
-        -      12.56    -       9.663   9.111   8.259   7.794   7.406   7.329   6.941   6.631
-        -      -        -         10.351  9.77    8.995   8.220   7.755   7.639   7.251   6.941
-        -      -        -        -         10.39   9.344   8.569   8.065   7.949   7.561   7.174
-        -      -        -        -         -        9.809   8.995   8.491   8.298   7.910   7.484
-        -      -        -        -         -        10.429  -       -       8.646   -        -
