#R_p/Ohm  #R_z/Ohm
22.1      22.2 
24.5      23.1
26.6      24.9
28.8      29.8
30.9      32.5
33.2      34.6
35.1      36.1
37.1      37.5
39.0      38.9
40.8      40.4
42.6      42.7
44.4      44.7
46.1      46.4
47.9      47.9
49.5      49.3
51.2      51.3
52.9      53.6
54.6      55.4
56.2      56.7
57.8      57.9
59.3      58.9
60.9      60.8
62.5      63.1
64.1      64.6
65.6      65.8
68.6      68.4
71.7      72.6
74.7      75.6
77.6      77.6
80.5      80.1
83.3      83.6
86.0      83.4
88.7      90.2
91.6      92.0
94.4      94.2
97.1      96.4
99.8      99.6
102.5     102.1
105.1     104.9
107.8     107.7
110.4     110.6
