#s/mm	#I/nA
-31     17.7
-30     18.5
-29     21
-28     22
-27     28
-26     33
-25     42
-24     55
-23     85
-22     115
-21     150
-20     190
-19     240
-18     315
-17     360
-16     420
-15     550
-14     600
-13     640
-12     680
-11     750
-10     750
-9      750
-8      740
-7      695
-6      660
-5      610
-4      530
-3      490
-2      440
-1      385
0     350
1     330
2     350
3     380
4     410
5     435
6     430
7     460
8     470
9     470
10      460
11      450
12      425
13      410
14      380
15      355
16      320
17      270
18      250
19      220
20      190
21      160
22      125
23      100
24      80
25      65
26      55
27      45
28      40
29      36
30      31
31      29
